cost,location,bedrooms
700 DH,La Siesta,"1 chambre, 63 m²"
11 500 DH,,"3 chambres, 145 m²"
7 200 DH,Route de rabat,"2 chambres, 90 m²"
3 500 DH,Centre Ville,"2 chambres, 78 m²"
2 200 DH,Al Aalia,"2 chambres, 70 m²"
9 000 DH,Centre Ville,"2 chambres, 82 m²"
8 500 DH,Quartier du Parc,"2 chambres, 85 m²"
5 000 DH,Quartier du Parc,"1 chambre, 59 m²"
Prix à consulter,Dar Bouazza,"2 chambres, 160 m²"
500 DH,Hay Salam,"2 chambres, 74 m²"
8 500 DH,Centre Ville,"2 chambres, 100 m²"
2 500 DH,Monica,"3 chambres, 64 m²"
2 700 DH,Nassim,"1 chambre, 68 m²"
5 000 DH,Hassania 2,"1 chambre, 61 m²"
2 000 DH,Quartier du Parc,"3 chambres, 84 m²"
6 500 DH,Hassania 3,"2 chambres, 98 m²"
7 000 DH,Centre Ville,"2 chambres, 77 m²"
4 500 DH,Quartier du Parc,"1 chambre, 48 m²"
4 500 DH,La Siesta,"1 chambre, 60 m²"
5 500 DH,Centre Ville,"1 chambre, 61 m²"
5 500 DH,,"2 chambres, 108 m²"
6 000 DH,Quartier du Parc,"2 chambres, 85 m²"
7 000 DH,Quartier du Parc,"2 chambres, 100 m²"
6 500 DH,Quartier du Parc,"2 chambres, 120 m²"
8 500 DH,La Siesta,"2 chambres, 80 m²"
6 000 DH,Quartier du Parc,"2 chambres, 86 m²"
3 000 DH,Mannesmann,"2 chambres, 95 m²"
800 DH,Nassim,"3 chambres, 92 m²"
4 500 DH,Kasbah,"1 chambre, 90 m²"
6 000 DH,La Siesta,"1 chambre, 62 m²"
3 700 DH,Quartier du Parc,"1 chambre, 60 m²"
8 000 DH,Wafa,"1 chambre, 60 m²"
8 000 DH,Quartier du Parc,"2 chambres, 81 m²"
